Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
skate shoes skate shoes,n/a,8000,451,3395,10595,376,1457,2499,0,38,261,4,44,135,5996,53486,206960,534860,4,YES
skate shoes skate shoes skate shoes 6 year boys skating,n/a,83,1223,16048,42886,649,889,2445,0,49,229,1,23,56,649,16659,38360,133271,1,NO
skating shoes with shoes,n/a,2000,175,3152,9900,460,939,2099,0,30,214,4,70,263,2300,67480,245583,674799,5,YES
slip shoes sports,n/a,4000,6,1491,10002,199,1028,2749,10,635,3198,6,98,351,4975,90814,315549,908140,4,YES
soloman shoes,n/a,n/a,2517,7126,11735,4362,11817,21171,0,0,2,3,12,20,43917,109449,174980,218897,3,NO
sparex shoes for men shoes,n/a,2000,3,146,923,296,728,1019,8,1550,3870,41,225,418,40918,143665,245784,1292981,4,YES
spark shoes running shoes,n/a,1000,20,1161,5740,466,929,1449,14,583,1589,10,114,245,14350,98286,230878,884574,6,YES
sparx shoes puma shoes,n/a,883,4,279,1530,244,510,1329,5,1319,2474,29,206,390,11205,78181,171110,703629,6,YES
sparx shoes sparx shoes,n/a,6000,3,140,798,244,734,1179,232,1448,3866,45,191,418,43188,124678,245784,1246777,5,YES
sparx shoes white shoes,n/a,221,3,518,1442,380,942,1699,0,705,2411,30,136,418,17970,95908,245784,863172,6,YES
sports shoes sports shoes,n/a,50000,171,171,171,866,866,866,3719,3719,3719,104,104,104,90064,90064,90064,900640,5,YES
sprk shoes for men shoes,n/a,1000,5,153,425,290,814,1245,229,1364,4376,65,173,368,31610,122079,203136,1098708,6,YES
studs shoes studs shoes,n/a,5000,474,2664,10965,515,702,849,2,77,658,6,40,109,3534,28201,92105,282013,7,YES
style shoes style shoes,n/a,50000,3,2086,9867,232,665,1678,0,592,2413,6,136,418,4186,78401,245784,784013,7,YES
stylish shoes stylish shoes,n/a,300000,1,2166,18237,259,537,849,0,1134,4523,3,191,481,1770,115623,295452,1156227,5,YES
superstar shoes mr shoes,n/a,4,3,35825,186785,448,1133,3149,0,298,2244,0,97,418,0,60300,245784,542697,5,YES
synergy shoes for men shoes,n/a,454,3531,35694,92487,499,761,1349,0,25,216,0,4,16,0,2649,10064,26492,0,NO
top shoes for running shoes,n/a,6000,6,1728,6397,449,952,1949,0,499,3198,10,98,351,12582,82068,315549,820678,6,YES
uniform shoes red shoes,n/a,85,1332,1332,1332,1996,1996,1996,223,223,223,32,32,32,63872,63872,63872,638720,7,YES
unistar shoes pt shoes,n/a,2,10324,41179,104705,294,1787,3659,0,4,16,0,3,6,0,4347,14636,17388,2,NO
uspa shoes loafer shoes,n/a,204,5255,22586,60464,1319,1887,3088,0,8,35,1,5,11,1759,9326,25069,83930,2,NO
victa shoes running shoes,n/a,32,4860,123054,295753,797,1684,4200,0,9,84,0,2,12,0,2070,9564,16558,0,NO
vogue shoes running shoe,n/a,452,2353,14378,34446,499,629,999,0,5,23,2,8,21,998,4302,10479,43024,0,NO
volleyball shoes sports shoes,n/a,1000,3,376,1920,339,769,1676,16,1137,7171,34,232,764,23361,162193,648636,1621935,7,YES
wildcraft shoes,n/a,279,19320,45140,96219,1995,3351,3995,0,11,67,0,2,3,0,5731,11985,57306,1,NO
woodland shoes running shoes,n/a,294,248,14021,35272,299,1011,2995,0,148,995,2,22,86,897,17129,46483,154164,0,NO
xpert shoes running shoes,n/a,80000,2,2554,25169,479,679,1080,5,555,3545,2,213,460,52323,158304,284040,1424733,5,YES
