Keyword,Search_Volume,Total_Results,BSR_Min,BSR_Avg,BSR_Max,Price_Min,Price_Avg,Price_Max,Reviews_Min,Reviews_Avg,Reviews_Max,Sales_Min,Sales_Avg,Sales_Max,Revenue_Min,Revenue_Avg,Revenue_Max,Revenue_Total,Oppurtunity_Score,Use
shoes gents,n/a,10000,1,8659,35778,445,622,997,0,452,3188,2,101,532,1497,50521,265468,505205,7,YES
shoes girls,n/a,n/a,27,227,537,419,504,599,38,241,585,57,117,221,32435,57892,110279,578922,6,YES
shoes hush puppies,n/a,1000,1449,5679,26040,1949,2642,3289,13,113,292,2,18,30,5598,47422,98670,474223,4,YES
shoes jeans,n/a,n/a,3,2359,8241,322,458,594,10,325,2211,8,82,418,2792,43756,248292,437562,7,YES
shoes jhootha,n/a,1000,244,14007,57933,199,403,549,0,14,76,1,21,87,349,8146,27445,81462,1,NO
shoes jogging shoes,n/a,10000,2,14057,56578,469,654,999,0,817,3894,1,111,460,499,73424,289575,734241,6,YES
shoes joota,n/a,n/a,234,4825,20541,349,494,560,0,13,76,3,34,89,1347,17264,46458,172643,1,NO
shoes joote,n/a,266,1620,159002,561487,349,422,599,0,17,157,0,4,28,0,1366,9772,10931,3,NO
shoes kide,n/a,100000,57,759,2986,339,442,499,81,430,1004,50,106,211,16950,47299,100014,236495,4,YES
shoes kids,n/a,100000,158,3212,15191,359,517,599,0,81,251,4,51,108,1996,25883,61098,232945,7,YES
shoes ladies,n/a,60000,181,1175,4676,349,457,599,15,195,527,12,52,101,4296,24636,50399,246363,6,NO
shoes ladies shoes,n/a,90000,14,257,894,339,575,1289,10,330,847,36,106,245,17964,62874,195755,628741,4,YES
shoes lancer,n/a,1000,37,1302,4642,302,615,1299,20,502,1144,6,76,225,7794,40903,112275,409029,7,YES
shoes leather,n/a,100000,59,1094,5774,499,785,1748,2,97,295,10,70,165,4990,59633,232320,596331,6,YES
shoes leather shoes,n/a,100000,55,854,3864,480,1278,3249,0,308,2158,15,89,170,19794,99450,331561,994496,5,YES
shoes lee cooper,n/a,1000,2129,13132,31981,999,1792,2259,0,20,91,2,9,23,2910,14585,44505,145851,0,NO
shoes less,n/a,n/a,3,3945,16776,175,523,899,0,666,2433,4,130,418,1756,73273,248292,732728,7,YES
shoes less for men,n/a,1000,1,242,555,367,556,899,9,884,4523,58,157,474,28942,81719,283926,817192,7,YES
shoes light,n/a,n/a,3,2822,9659,299,808,2445,2,699,3128,7,123,418,4485,58821,208582,294107,4,NO
shoes loafer,n/a,50000,5,286,1293,299,843,2198,17,325,1415,33,146,368,21827,95666,146096,860993,7,YES
shoes loafers,n/a,50000,52,456,1618,464,732,1289,15,460,2154,29,96,201,25158,63169,108064,631689,4,YES
shoes long,n/a,20000,2,4731,26465,299,487,899,3,923,3609,2,143,460,686,87965,302064,879651,4,YES
shoes look,n/a,n/a,3,1063,7498,419,652,1299,1,519,2211,8,159,418,7976,106403,290976,1064025,4,YES
shoes low price,n/a,300000,1,31,156,368,570,849,399,1642,4523,97,273,477,48403,161392,296301,1452532,7,YES
shoes low price sports shoes,n/a,2000,6,8141,41303,336,542,825,0,628,3197,1,132,351,499,77904,289575,701132,4,YES
shoes male 300,n/a,5000,333,333,333,249,249,249,316,316,316,74,74,74,18426,18426,18426,184260,1,NO
shoes marketing,n/a,3000,108,108,108,499,499,499,1705,1705,1705,128,128,128,63872,63872,63872,638720,6,YES
shoes marriage shoes,n/a,841,1263,11768,50155,450,494,499,1,35,91,1,14,33,499,6704,16467,67040,0,NO
shoes men,n/a,100000,2,617,2182,319,761,2519,3,837,3546,23,157,460,9251,99459,294846,994587,7,YES
shoes men black,n/a,70000,80,427,1302,394,502,599,2,230,517,33,84,146,19767,40896,72854,408955,5,YES
shoes men black sports shoes,n/a,40000,5,359,1695,449,739,1799,14,565,3183,27,184,368,28820,115980,321632,1159801,7,YES
shoes men juti,n/a,3000,18,14023,57745,299,527,757,0,403,2224,1,64,251,598,35926,128690,359255,7,YES
shoes men red chief shoes,n/a,1000,218,2141,6795,1407,2060,2716,70,202,321,9,38,92,24444,74116,198444,741159,6,YES
shoes men sports,n/a,90000,1,38,70,299,514,825,0,732,3197,154,247,532,48438,133245,289575,1332453,5,YES
shoes men stylish,n/a,100000,1,77,470,399,565,999,0,932,3197,61,249,532,24339,144987,289575,1449873,6,YES
shoes men under 250,n/a,4000,2785,2785,2785,n/a,n/a,n/a,0,0,0,19,19,19,n/a,n/a,n/a,n/a,3,NO
shoes mens shoes 6,n/a,80000,1,161,591,349,513,999,1,832,3198,54,208,532,23760,115106,303696,1035955,7,YES
shoes modal,n/a,299,55370,55370,55370,649,649,649,10,10,10,1,1,1,649,649,649,6490,2,NO
shoes new,n/a,100000,1,669,5473,348,475,593,27,1079,4844,12,240,499,4692,119966,249001,1079692,5,YES
shoes new 2018,n/a,2000,3,10309,66190,274,1701,2971,2,276,2254,1,63,418,9596,44385,114532,399462,5,YES
shoes new fashion,n/a,50000,2,3560,19395,348,503,1000,0,365,3423,3,117,460,1437,79783,460000,797830,4,YES
shoes new shoes,n/a,70000,917,7615,24784,1742,2894,5999,0,4,10,2,19,41,6009,47004,115308,470042,3,NO
shoes new shoes parti,n/a,9000,156,10347,92597,280,426,599,0,97,539,0,49,108,0,20730,53892,207300,5,YES
shoes new show,n/a,887,4,115,364,85,392,764,62,1482,3861,73,274,564,6205,101474,228930,1014742,4,YES
shoes nike,n/a,3000,399,4263,24475,441,2897,11974,0,14,71,3,31,67,6426,56685,155050,566845,6,YES
shoes nike all,n/a,305,1221,37884,131097,2725,4413,6247,0,9,47,0,9,34,0,33155,163030,331547,3,NO
shoes offer,n/a,20000,1,7529,22936,499,743,1259,0,345,3188,3,69,532,2241,38998,265468,389977,4,NO
shoes offers,n/a,n/a,1,5378,37298,449,706,1099,0,598,3122,2,146,532,1998,80146,265468,801462,4,YES
shoes online,n/a,100000,2,1294,6638,246,623,1478,13,1634,3545,9,289,460,5841,139593,252540,1395926,6,YES
shoes original,n/a,5000,3,21037,120692,350,1138,3499,0,384,2244,0,75,418,0,44512,245784,445117,4,YES
shoes party shoes,n/a,50000,12,4390,29767,429,551,999,0,269,1011,3,99,317,1497,50251,158183,502505,6,YES
shoes party wear,n/a,60000,1,1001,3175,299,516,999,2,653,4551,17,124,498,6783,61910,248502,619102,5,YES
shoes polish,n/a,3000,539,4667,12184,54,227,399,4,57,127,18,68,231,5472,17952,73689,143619,1,NO
shoes price,n/a,300000,1,2082,18237,373,506,599,0,1067,4523,3,222,481,1770,115989,288119,1043897,7,YES
shoes price price and,n/a,10000,1,4501,16097,313,576,1299,0,712,3779,4,166,532,1996,82881,265468,828812,7,YES
shoes puma,n/a,10000,124,1046,3893,418,1923,5058,1,23,101,14,64,120,20986,114246,263016,1142462,4,YES
shoes puma 6,n/a,3000,103,8098,24345,418,2278,4589,0,91,538,3,31,131,7197,47313,156408,425815,5,YES
shoes quechua,n/a,59,6720,33108,60012,1899,4077,5999,0,5,16,0,3,9,0,8255,17091,41274,3,NO
shoes red,n/a,80000,16,532,1971,338,666,1717,7,200,648,24,102,263,10776,66398,149379,663982,4,YES
shoes red colour,n/a,4000,23,2917,11161,299,550,1408,1,117,435,6,82,233,2994,58125,232320,523125,6,YES
shoes reebok,n/a,2000,44,2910,15495,1499,2039,4100,0,12,33,4,47,185,7996,91475,277315,914754,7,YES
shoes reebok shoes,n/a,2000,74,2008,4591,1499,2123,2809,0,18,45,13,42,150,23086,84453,269850,844532,7,YES
shoes rock vision,n/a,218,1084,28782,119289,315,460,499,1,62,224,0,10,37,0,4186,18130,41856,3,NO
shoes running,n/a,100000,6,57,151,330,799,1799,0,636,3197,110,194,351,47190,156519,289575,1565194,5,YES
shoes rupees 500,n/a,610,2,10319,91445,424,487,588,1,889,3180,0,177,460,0,90279,245784,812509,7,YES
shoes s,n/a,30000,86,2466,12067,260,514,909,0,459,3861,5,50,141,4545,26400,89388,264004,5,NO
shoes safety shoes,n/a,10000,102,859,2605,319,935,1713,3,242,566,5,61,149,7245,41826,136037,418258,4,NO
